,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
6418,2019-06-19,1205728,1918976.86,1494138,2.0,2.0,2250.0,1959171.0,17,5,2016,3.0,1.0,1609400.00
6419,2019-06-19,1214515,324697.54,149100,2.0,2.0,1415.0,202300.0,17,14,2018,18.0,1.0,135000.00
6427,2019-06-19,1208775,169105.89,123375,1.0,1.0,780.0,170774.0,17,11,2018,2.0,1.0,125550.00
6436,2019-06-18,1212262,145852.07,167500,0.0,0.0,1232.0,223414.0,31,17,2017,3.0,5.0,145852.07
6442,2019-06-18,1212609,335622.34,132000,2.0,2.0,897.0,168108.0,31,14,2016,6.0,2.0,129600.00
6467,2019-06-17,1214312,144611.63,108989,2.0,2.0,1064.0,184742.0,84,63,2018,19.0,1.0,115800.00
6474,2019-06-17,1212334,29175.08,35372,1.0,1.0,650.0,89288.0,84,48,2017,1.0,2.0,14000.00
6486,2019-06-17,1213027,15113.58,424040,2.0,2.0,1134.0,407100.0,84,76,2018,1.0,2.0,10113.58
6494,2019-06-17,1211037,191584.83,174190,1.0,1.0,702.0,219532.0,84,72,2018,3.0,2.0,176384.79
6498,2019-06-17,1198579,178112.25,93220,1.0,1.0,630.0,123472.0,84,51,2017,6.0,1.0,98000.00
6503,2019-06-17,1211791,251532.57,129390,2.0,2.0,1135.0,156117.0,84,61,2018,5.0,1.0,168000.00
6514,2019-06-17,1213356,1931778.55,1227300,5.0,6.0,4320.0,2070434.0,84,25,2016,4.0,2.0,1983760.93
6534,2019-06-17,1209646,1016610.61,625300,2.0,2.0,1298.0,721885.0,84,79,2018,6.0,1.0,1016610.61
6565,2019-06-11,1209624,194416.85,119100,2.0,2.0,925.0,159862.0,24,18,2018,7.0,1.0,163000.00
6566,2019-06-11,1213072,13108.94,73509,1.0,1.0,1036.0,94803.0,24,21,2018,1.0,1.0,13600.00
6569,2019-06-11,1213073,52770.06,246600,3.0,2.0,1520.0,403785.0,24,22,2018,5.0,3.0,13600.00
6617,2019-06-10,1211761,164932.13,74120,3.0,2.0,1090.0,210264.0,77,75,2018,7.0,1.0,166653.08
6620,2019-06-10,1212869,476922.69,322050,0.0,1.0,1267.0,404563.0,77,42,2017,4.0,1.0,403000.00
6647,2019-06-10,1210567,481087.39,430000,2.0,2.0,1190.0,489057.0,77,51,2018,2.0,1.0,449900.00
6658,2019-06-05,1210207,189967.74,215280,3.0,2.0,1420.0,288414.0,45,35,2018,5.0,3.0,195540.69
6727,2019-06-03,1211700,299830.21,230416,1.0,1.0,799.0,367500.0,88,81,2018,4.0,1.0,302050.17
6729,2019-06-03,1211232,603440.51,365640,2.0,2.0,1318.0,474319.0,88,48,2017,3.0,3.0,441600.00
6730,2019-06-03,1211694,220586.83,127009,2.0,2.0,1023.0,153652.0,88,61,2018,2.0,1.0,162000.00
6737,2019-06-03,1196418,298101.56,48564,2.0,2.0,1332.0,166804.0,88,47,2017,3.0,3.0,305809.06
6756,2019-06-03,1207224,392444.41,342854,2.0,2.0,1464.0,364700.0,88,34,2017,7.0,3.0,255300.00
6765,2019-06-03,1210028,896741.32,492000,1.0,1.0,851.0,592016.0,88,7,2012,6.0,2.0,904489.00
6793,2019-05-29,1196372,67856.23,64600,2.0,2.0,1360.0,110364.0,19,12,2017,3.0,1.0,70008.76
6799,2019-05-29,1196027,144871.19,194300,2.0,2.0,996.0,205439.0,19,9,2017,2.5,1.0,149054.95
6808,2019-05-28,1206919,252883.22,124900,3.0,2.0,1195.0,170686.0,98,65,2018,4.0,1.0,117334.00
6814,2019-05-28,1209001,2082988.14,995775,3.0,3.0,2343.0,1418768.0,98,33,2016,4.0,3.0,2202165.02
6819,2019-05-28,1206526,301417.06,284728,2.0,2.0,1139.0,382189.0,98,76,2018,8.0,3.0,307716.65
6826,2019-05-28,1208083,288085.68,185816,0.0,1.0,795.0,407700.0,98,25,2015,8.0,5.0,315491.66
6835,2019-05-28,1210603,155651.88,55967,1.0,1.0,423.0,102295.0,98,93,2018,4.0,2.0,26400.00
6850,2019-05-28,1204977,218307.67,116000,1.0,1.0,725.0,356000.0,98,15,2014,11.0,1.0,140000.00
6864,2019-05-28,1208888,192533.55,109290,2.0,2.0,960.0,140557.0,98,55,2017,4.0,1.0,139000.00
6868,2019-05-28,1211233,481358.53,222770,2.0,2.0,1090.0,378453.0,98,1,2008,12.0,8.0,232900.00
6903,2019-05-22,1208754,30070.4,59500,2.0,2.0,960.0,91266.0,36,22,2017,2.0,3.0,31309.40
6904,2019-05-22,1209964,75846.46,112000,2.0,2.0,1370.0,142940.0,36,26,2018,1.0,1.0,75846.46
6909,2019-05-22,1209265,95191.04,61140,2.0,2.0,1077.0,166790.0,36,17,2017,3.0,3.0,7000.00
6916,2019-05-22,1210045,142855.71,125345,2.0,1.0,1140.0,190398.0,36,32,2018,7.0,3.0,144114.99
6922,2019-05-21,1208227,32522.64,190400,3.0,2.0,1688.0,249837.0,39,13,2015,2.0,4.0,41900.00
6924,2019-05-21,1210061,1824333.72,542000,2.0,2.0,1990.0,684275.0,39,27,2017,2.0,1.0,900000.00
6939,2019-05-21,1210043,44326.33,216000,1.0,1.0,969.0,259767.0,39,32,2018,1.0,1.0,44990.51
6942,2019-05-21,1209746,168125.42,130000,1.0,1.0,710.0,163394.0,39,34,2018,5.0,2.0,169459.78
6956,2019-05-21,1207718,301024.18,309049,2.0,2.0,1158.0,403721.0,39,38,2018,21.0,2.0,310543.39
6971,2019-05-20,1194798,233619.36,141750,2.0,2.0,1106.0,169882.0,54,38,2018,4.0,1.0,143500.00
6979,2019-05-20,1209654,156098.9,191232,2.0,2.0,1036.0,303844.0,54,52,2019,3.0,1.0,157082.05
6995,2019-05-20,1207112,619296.11,425880,1.0,1.0,896.0,499036.0,54,47,2018,4.0,1.0,624988.31
6997,2019-05-20,1208260,2411707.13,2613600,5.0,5.0,3633.0,367300.0,54,53,2019,3.0,1.0,2411707.13
7000,2019-05-20,1209628,473316.6,207820,0.0,0.0,1064.0,407700.0,54,31,2017,3.0,1.0,214200.00
7009,2019-05-15,1209222,1055189.73,703900,2.0,2.0,1322.0,1044730.0,34,23,2018,8.0,4.0,1076420.73
7014,2019-05-15,1208783,46715.45,122000,0.0,0.0,887.0,137825.0,34,22,2017,2.0,1.0,47394.80
7016,2019-05-15,1207554,279887.5,240521,1.0,1.0,945.0,488949.0,34,33,2018,4.0,1.0,236523.00
7026,2019-05-15,1208887,337204.42,388705,1.0,1.0,847.0,520665.0,34,34,2019,3.0,2.0,337204.42
7043,2019-05-14,1197985,256751.2,140804,2.0,2.0,900.0,166095.0,23,13,2017,5.0,1.0,170000.00
7061,2019-05-13,1202932,615292.58,360270,2.0,2.0,1397.0,600464.0,89,20,2015,4.0,10.0,600852.69
7078,2019-05-13,1193386,238935.88,156450,2.0,2.0,845.0,198076.0,89,29,2016,4.0,1.0,148982.73
7107,2019-05-13,1206535,18031.85,80000,1.0,1.0,830.0,109544.0,89,84,2018,1.0,1.0,18031.85
7111,2019-05-13,1206909,450191.73,267064,0.0,0.0,1398.0,332427.0,89,52,2017,4.0,1.0,301000.00
7122,2019-05-13,1202737,104678.39,89500,1.0,1.0,542.0,120023.0,89,73,2018,2.0,1.0,93150.00
7140,2019-05-13,1202706,117911.76,123200,2.0,2.0,793.0,149142.0,89,63,2018,4.0,1.0,116485.75
7141,2019-05-13,1197915,222127.04,110160,2.0,2.0,1004.0,142791.0,89,56,2017,4.0,1.0,133000.00
7149,2019-05-08,1206590,426656.81,231100,1.0,2.0,1290.0,329382.0,21,15,2017,4.0,2.0,278080.00
7152,2019-05-08,1205809,601897.81,414900,1.0,1.0,808.0,466266.0,21,11,2017,4.0,1.0,508082.05
7189,2019-05-07,1192571,290447.1,122535,0.0,0.0,723.0,145210.0,29,23,2018,8.0,1.0,119000.00
7194,2019-05-06,1196764,186938.07,119700,1.0,1.0,689.0,129495.0,61,33,2017,6.0,1.0,117679.49
7198,2019-05-06,1207182,86933.87,82450,3.0,1.0,935.0,240700.0,61,7,2014,5.0,7.0,82400.00
7210,2019-05-06,1201176,336652.26,160000,3.0,2.0,1660.0,137290.0,61,14,2016,4.0,3.0,200000.00
7211,2019-05-06,1202889,174059.84,177450,2.0,2.0,1102.0,192154.0,61,56,2018,4.0,4.0,174059.84
7217,2019-05-06,1188724,127022.54,110292,2.0,2.0,1032.0,149416.0,61,44,2018,6.0,1.0,128012.22
7226,2019-05-06,1206916,376996.85,200346,2.0,2.0,935.0,272517.0,61,18,2016,6.0,1.0,191070.96
7227,2019-05-06,1205452,166675.31,92820,1.0,1.0,610.0,125270.0,61,36,2017,4.0,1.0,121000.00
7230,2019-05-06,1200903,184543.37,147290,2.0,2.0,1020.0,270400.0,61,1,2009,4.0,3.0,162321.62
7231,2019-05-06,1202440,7879.93,128000,3.0,2.0,1379.0,149281.0,61,60,2018,1.0,1.0,7961.92
7239,2019-05-06,1206811,31595.51,321800,1.0,1.0,1190.0,425600.0,61,61,2019,1.0,1.0,7961.92
7241,2019-05-06,1200880,272179.68,125600,2.0,2.0,940.0,188860.0,61,43,2018,2.0,1.0,171000.00
7245,2019-05-01,1202743,603440.51,365640,2.0,2.0,1318.0,479498.0,33,15,2017,3.0,3.0,441600.00
7248,2019-05-01,1206863,172242.3,125000,1.0,1.0,777.0,149014.0,33,7,2016,52.0,1.0,140000.00
7255,2019-05-01,1202910,1171362.45,645600,2.0,2.0,1688.0,797926.0,33,30,2018,6.0,2.0,999900.00
7275,2019-04-30,1206403,284595.63,273092,1.0,2.0,1091.0,353295.0,41,34,2018,5.0,1.0,286155.39
7279,2019-04-30,1205547,216020.09,137276,1.0,1.0,912.0,685100.0,41,5,2012,4.0,2.0,171000.00
7281,2019-04-30,1205491,278270.26,266000,3.0,2.0,1960.0,324500.0,41,17,2016,8.0,5.0,204884.67
7288,2019-04-30,1205243,232877.06,99360,2.0,1.0,784.0,143830.0,41,41,2018,3.0,1.0,145000.00
7293,2019-04-30,1196471,434436.49,213200,3.0,2.0,1364.0,269103.0,41,22,2017,3.0,1.0,271000.00
7300,2019-04-30,1205014,117093.19,127347,0.0,0.0,1150.0,152240.0,41,12,2015,3.0,3.0,95875.00
7315,2019-04-29,1199333,173399.04,50483,3.0,2.0,1280.0,165405.0,65,10,2014,5.0,5.0,143000.00
7329,2019-04-29,1200143,191584.83,174190,1.0,1.0,702.0,217392.0,65,54,2018,3.0,2.0,192298.20
7336,2019-04-29,1196152,160668.0,93000,2.0,2.0,970.0,131801.0,65,46,2018,5.0,1.0,163533.44
7344,2019-04-29,1200142,215348.98,120156,1.0,1.0,634.0,144619.0,65,21,2016,4.0,1.0,111643.36
7346,2019-04-29,1206111,303537.13,113800,1.0,1.0,913.0,363500.0,65,43,2017,5.0,1.0,130900.00
7350,2019-04-29,1205737,172031.49,96300,1.0,1.0,550.0,117812.0,65,63,2018,3.0,1.0,81500.00
7367,2019-04-29,1199805,121920.59,60690,1.0,1.0,840.0,265000.0,65,38,2017,6.0,1.0,80000.00
7374,2019-04-24,1205458,15113.58,424040,2.0,2.0,1134.0,407800.0,27,25,2018,1.0,2.0,15113.58
7387,2019-04-24,1199529,189967.74,215280,3.0,2.0,1420.0,288328.0,27,22,2018,5.0,3.0,193859.54
7410,2019-04-23,1195597,16055.68,101692,1.0,1.0,812.0,205500.0,19,5,2011,7.0,1.0,16055.68
7416,2019-04-22,1206841,266415.27,180700,1.0,1.0,990.0,237435.0,68,1,2007,6.0,1.0,235878.96
7467,2019-04-22,1190926,221262.69,67945,1.0,1.0,1036.0,107383.0,68,39,2017,8.0,1.0,87000.00
7489,2019-04-17,1201158,82799.15,107100,2.0,1.0,850.0,163593.0,27,13,2017,2.0,2.0,87509.08
7498,2019-04-17,1200926,1063670.73,791000,0.0,0.0,2120.0,1111049.0,27,3,2012,10.0,2.0,1076000.00
7504,2019-04-16,1198236,365763.56,193395,2.0,2.0,935.0,297882.0,15,9,2018,5.0,5.0,236000.00
7523,2019-04-15,1202478,57128.15,187470,2.0,2.0,1268.0,292330.0,75,74,2018,1.0,1.0,57128.15
7524,2019-04-15,1200169,112029.03,61079,1.0,1.0,620.0,75806.0,75,41,2017,8.0,1.0,61600.00
7558,2019-04-15,1197911,30070.4,59500,2.0,2.0,960.0,90526.0,75,53,2017,2.0,3.0,31120.90
7559,2019-04-15,1200420,191350.9,73008,1.0,2.0,861.0,99354.0,75,70,2018,6.0,1.0,89000.00
7579,2019-04-15,1202441,781154.86,390700,3.0,3.0,1600.0,363500.0,75,6,2013,3.0,1.0,786958.66
7632,2019-04-09,1191759,288085.68,185816,0.0,1.0,795.0,407800.0,24,4,2015,8.0,5.0,313043.55
7635,2019-04-08,1196344,57792.54,103000,1.0,1.0,887.0,126956.0,86,17,2015,3.0,3.0,2000.00
7644,2019-04-08,1199131,541999.79,522345,2.0,2.0,1260.0,665327.0,86,35,2016,12.0,1.0,541999.79
7653,2019-04-08,1198015,551329.33,258936,2.0,2.0,1214.0,341508.0,86,10,2014,7.0,6.0,329900.00
7660,2019-04-08,1187718,62760.54,180000,2.0,2.0,1060.0,233995.0,86,42,2017,3.0,1.0,65817.48
7703,2019-04-08,1199203,228901.29,268900,1.0,2.0,1214.0,368852.0,86,82,2018,4.0,2.0,234009.19
7724,2019-04-03,1200174,205185.69,113000,2.0,1.0,665.0,142532.0,57,51,2018,3.0,1.0,136000.00
7736,2019-04-03,1187229,507504.26,131000,0.0,0.0,1162.0,281900.0,57,26,2016,4.0,4.0,155625.00
7753,2019-04-03,1187880,392444.41,235249,1.0,1.0,997.0,215270.0,57,30,2017,7.0,3.0,258100.00
7754,2019-04-03,1199793,269354.26,91463,2.0,2.0,917.0,148317.0,57,7,2014,6.0,3.0,280641.09
7757,2019-04-03,1198931,233047.49,112141,0.0,1.0,481.0,217730.0,57,54,2018,3.0,1.0,190460.00
7773,2019-04-02,1199533,86933.87,82450,3.0,1.0,935.0,239600.0,24,4,2014,5.0,7.0,76700.00
7777,2019-04-02,1200146,146313.81,97500,0.0,1.0,420.0,129587.0,24,20,2018,4.0,1.0,127500.00
7780,2019-04-02,1187652,367136.94,205000,2.0,2.0,1010.0,258123.0,24,15,2017,7.0,1.0,261000.00
7804,2019-04-01,1186482,266677.51,190826,2.0,1.0,926.0,292944.0,80,54,2018,5.0,1.0,199900.00
7814,2019-04-01,1199807,303257.9,118944,2.0,2.0,1141.0,179867.0,80,43,2017,4.0,1.0,156000.00
7823,2019-04-01,1199812,236016.74,179375,1.0,1.0,759.0,800900.0,80,77,2018,3.0,1.0,237735.22
7864,2019-03-27,1198989,317662.13,189482,1.0,1.0,762.0,367000.0,45,35,2018,4.0,1.0,219830.00
7867,2019-03-27,1198966,144726.03,64050,2.0,2.0,1041.0,77095.0,45,30,2017,6.0,1.0,61920.00
7868,2019-03-27,1197727,2197876.05,1871759,3.0,3.0,2640.0,2791890.0,45,19,2016,7.0,3.0,2375000.00
7886,2019-03-27,1199118,205093.33,135000,2.0,2.0,1170.0,169530.0,45,40,2018,6.0,1.0,165000.00
7887,2019-03-27,1198319,711069.55,698600,2.0,2.0,1097.0,648916.0,45,41,2018,5.0,1.0,716248.99
7893,2019-03-27,1197648,681810.68,442095,3.0,2.0,1453.0,671195.0,45,34,2018,5.0,2.0,437750.00
7899,2019-03-27,1197602,400832.63,269390,2.0,2.0,1144.0,413521.0,45,7,2012,4.0,1.0,354200.00
7901,2019-03-27,1199285,22814.73,229500,2.0,2.0,1500.0,305543.0,45,36,2018,3.0,4.0,219830.00
7908,2019-03-26,1198517,39490.87,226100,1.0,1.0,1026.0,368021.0,22,16,2017,2.0,4.0,59478.75
7963,2019-03-25,1195021,330711.01,222917,0.0,1.0,868.0,272541.0,63,46,2017,2.0,1.0,223000.00
8007,2019-03-19,1197982,278726.6,143373,1.0,1.0,617.0,187503.0,28,27,2018,3.0,1.0,180000.00
8045,2019-03-18,1196426,113450.05,113100,1.0,1.0,745.0,181543.0,78,45,2017,5.0,1.0,114890.27
8057,2019-03-18,1195174,597504.53,331600,2.0,2.0,1425.0,447331.0,78,6,2014,4.0,5.0,364000.00
8058,2019-03-18,1196691,533393.13,278996,1.0,2.0,1030.0,329051.0,78,71,2018,4.0,1.0,317000.00
8059,2019-03-18,1192696,172142.01,97242,0.0,1.0,660.0,149103.0,78,27,2016,2.0,2.0,118526.65
8060,2019-03-18,1196469,125041.58,234934,3.0,2.0,1459.0,298162.0,78,67,2018,5.0,3.0,126430.79
8061,2019-03-18,1199431,615292.58,360270,2.0,2.0,1397.0,638087.0,78,9,2015,4.0,10.0,637350.37
8072,2019-03-18,1184811,89746.5,105652,1.0,1.0,628.0,401000.0,78,3,2012,9.0,1.0,92002.54
8091,2019-03-13,1196775,33273.64,66950,2.0,1.0,1075.0,91826.0,17,4,2014,11.0,6.0,33474.99
8098,2019-03-13,1189876,141102.18,111500,0.0,0.0,918.0,167000.0,17,10,2017,2.5,1.0,115202.50
8100,2019-03-12,1196747,14882.32,191919,1.0,1.0,1006.0,298444.0,22,22,2018,1.0,1.0,14882.32
8110,2019-03-12,1195166,317433.35,275700,2.0,2.0,1190.0,391084.0,22,16,2017,3.0,2.0,340000.00
8121,2019-03-11,1191247,422258.78,205373,3.0,2.0,1470.0,274493.0,87,14,2014,4.0,8.0,230270.70
8128,2019-03-11,1197560,183565.5,698600,2.0,2.0,1097.0,648916.0,87,71,2018,3.0,2.0,70000.00
8145,2019-03-11,1194361,215379.36,185400,3.0,2.0,1571.0,220864.0,87,33,2016,3.0,9.0,207000.00
8184,2019-03-11,1192901,184543.37,147290,2.0,2.0,1020.0,269200.0,87,2,2009,4.0,3.0,156318.06
8209,2019-03-06,1196206,147887.13,150000,2.0,2.0,1140.0,183312.0,52,31,2017,3.0,1.0,142400.00
8235,2019-03-06,1196779,1428685.8,1959000,3.0,3.0,2928.0,2360603.0,52,43,2018,3.0,1.0,1437742.73
8239,2019-03-06,1196782,101689.31,199500,3.0,2.0,1396.0,251452.0,52,36,2018,3.0,1.0,102551.55
8240,2019-03-06,1194381,95191.04,61140,2.0,2.0,1077.0,164429.0,52,24,2017,3.0,3.0,30000.00
8259,2019-03-05,1195018,133839.76,98328,1.0,1.0,846.0,131520.0,22,7,2017,13.0,2.0,106717.50
8261,2019-03-05,1196154,149468.61,149400,2.0,2.0,925.0,184006.0,22,12,2018,3.0,1.0,150734.94
8267,2019-03-05,1196177,335622.34,132000,2.0,2.0,897.0,170402.0,22,4,2016,6.0,2.0,129600.00
8270,2019-03-04,1194404,9287.77,162750,3.0,2.0,1325.0,198651.0,72,59,2017,2.0,3.0,12296.80
8277,2019-03-04,1194358,226238.16,247864,2.0,2.0,791.0,416366.0,72,69,2018,3.0,1.0,190000.00
8295,2019-03-04,1190046,80224.6,144800,2.0,1.0,743.0,150862.0,72,35,2016,7.0,8.0,92609.66
8321,2019-03-04,1181263,260287.68,118000,2.0,1.0,870.0,142753.0,72,54,2017,5.0,1.0,149000.00
8335,2019-02-27,1182779,141458.02,111000,1.0,1.0,787.0,137974.0,41,18,2017,13.0,1.0,140000.00
8338,2019-02-27,1195029,137899.16,160650,2.0,2.0,1030.0,191042.0,41,37,2018,9.0,1.0,138900.13
8339,2019-02-27,1194913,123815.05,134000,2.0,1.0,763.0,169531.0,41,39,2018,2.0,1.0,124930.08
8345,2019-02-27,1194971,155236.74,140000,2.0,2.0,870.0,173336.0,41,22,2017,5.0,1.0,153120.00
8346,2019-02-27,1194905,1055189.73,703900,2.0,2.0,1322.0,982836.0,41,32,2018,8.0,4.0,1061839.73
8348,2019-02-27,1191900,188340.87,179400,1.0,2.0,752.0,255340.0,41,9,2015,7.0,3.0,280000.00
8351,2019-02-27,1182073,314005.56,253000,1.0,1.0,710.0,299765.0,41,8,2015,10.0,1.0,280000.00
8373,2019-02-26,1190368,65673.59,153000,2.0,2.0,824.0,176906.0,47,36,2018,7.0,1.0,69142.59
8399,2019-02-26,1194973,438311.93,204584,2.0,2.0,1000.0,290830.0,47,20,2016,7.0,1.0,240200.00
8406,2019-02-26,1193335,151785.63,132407,2.0,2.0,856.0,155633.0,47,33,2017,7.0,1.0,147000.00
8411,2019-02-26,1194912,365388.75,230100,3.0,2.0,1740.0,273838.0,47,47,2018,4.0,1.0,200000.00
8417,2019-02-25,1193499,228901.29,268900,1.0,2.0,1214.0,364148.0,65,64,2018,4.0,2.0,231727.50
8431,2019-02-25,1193140,174059.84,177450,2.0,2.0,1102.0,202801.0,65,65,2018,4.0,4.0,174059.84
8436,2019-02-25,1191855,35832.7,255700,1.0,1.0,988.0,352314.0,65,57,2018,1.0,2.0,43590.04
8447,2019-02-25,1176831,682417.29,225000,0.0,1.0,500.0,260100.0,65,14,2015,4.0,1.0,340000.00
8463,2019-02-25,1181302,459530.82,318000,3.0,2.0,1264.0,522784.0,65,43,2017,2.0,1.0,426000.00
8464,2019-02-25,1192643,11703.52,203900,1.0,1.0,600.0,244387.0,65,62,2018,2.0,2.0,13500.00
8485,2019-02-20,1190971,291811.63,137000,3.0,2.0,1230.0,173709.0,54,36,2017,7.0,1.0,163800.00
8506,2019-02-20,1192948,266708.84,100430,1.0,1.0,974.0,121044.0,54,7,2012,4.0,1.0,93452.15
8539,2019-02-19,1185079,365763.56,193395,2.0,2.0,935.0,297346.0,82,69,2018,5.0,5.0,236000.00
8541,2019-02-19,1192493,94347.71,80600,0.0,0.0,584.0,120789.0,82,11,2014,4.0,2.0,115059.89
8547,2019-02-19,1175650,700504.47,459400,2.0,2.0,1197.0,516060.0,82,39,2016,7.0,1.0,536337.14
8553,2019-02-19,1190339,273426.92,263000,2.0,2.0,1244.0,345205.0,82,81,2018,3.0,1.0,242000.00
8613,2019-02-13,1193340,430045.44,335000,1.0,1.0,776.0,375473.0,20,5,2017,3.0,1.0,361760.34
8619,2019-02-12,1192850,14249.15,91290,2.0,2.0,940.0,116374.0,21,21,2018,3.0,1.0,14249.15
8621,2019-02-12,1191537,560324.68,266800,1.0,2.0,1310.0,364538.0,21,4,2016,3.0,6.0,560324.68
8630,2019-02-12,1192644,52094.18,134246,2.0,2.0,780.0,159661.0,21,20,2018,1.0,1.0,52094.18
8644,2019-02-11,1192550,158212.22,125000,2.0,2.0,845.0,156642.0,58,42,2017,4.0,1.0,159382.92
8648,2019-02-11,1179105,545180.14,274100,2.0,2.0,950.0,407216.0,58,25,2016,7.0,1.0,310250.00
8658,2019-02-11,1191075,334613.69,176900,0.0,1.0,552.0,229729.0,58,45,2017,4.0,1.0,281000.00
8679,2019-02-11,1189011,49425.01,95000,2.0,2.0,1040.0,126162.0,58,32,2016,1.0,2.0,49425.01
8687,2019-02-11,1187703,157052.54,207000,3.0,2.0,1207.0,255421.0,58,49,2018,6.0,2.0,160266.68
8691,2019-02-11,1191077,157414.01,146300,0.0,0.0,1300.0,231104.0,58,57,2018,2.0,1.0,156581.15
8750,2019-02-04,1188344,126615.71,105000,1.0,1.0,870.0,171847.0,65,11,2015,5.0,2.0,86830.21
8771,2019-02-04,1190955,284675.84,223850,3.0,2.0,1550.0,268320.0,65,56,2018,6.0,1.0,202000.00
8849,2019-01-28,1184555,632629.99,406805,3.0,2.0,1427.0,409742.0,75,56,2017,7.0,2.0,358275.00
8869,2019-01-28,1186465,666373.76,233783,1.0,1.0,760.0,315646.0,75,51,2017,5.0,1.0,229500.00
8871,2019-01-28,1176444,273690.0,116437,2.0,2.0,1224.0,175355.0,75,18,2016,11.0,1.0,147654.58
8898,2019-01-28,1189841,233025.23,228950,1.0,1.0,825.0,273937.0,75,74,2018,1.0,1.0,234891.47
8943,2019-01-22,1184550,201121.54,135000,2.0,2.0,1093.0,171406.0,126,116,2018,7.0,1.0,157500.00
8959,2019-01-22,1185519,114133.48,220000,1.0,1.0,690.0,296670.0,126,13,2012,1.0,2.0,114808.48
8969,2019-01-22,1187872,119386.15,100425,1.0,1.0,855.0,133367.0,126,102,2018,5.0,1.0,85555.00
8986,2019-01-22,1181113,303029.65,159402,2.0,2.0,1310.0,205471.0,126,21,2014,5.0,1.0,165750.00
8988,2019-01-22,1182607,263700.3,158817,3.0,2.0,1716.0,200111.0,126,112,2018,8.0,1.0,189965.00
8989,2019-01-22,1188343,959104.17,228813,2.0,2.0,1023.0,335001.0,126,20,2014,5.0,1.0,266250.00
9006,2019-01-22,1190025,69132.0,1673000,4.0,4.0,2485.0,2773245.0,126,123,2018,1.0,1.0,69132.00
9021,2019-01-22,1187878,802649.06,402040,3.0,2.0,1416.0,634612.0,126,26,2014,3.0,1.0,360300.00
9031,2019-01-22,1175674,1847130.33,1673000,4.0,4.0,2485.0,2773245.0,126,122,2018,3.0,1.0,1900000.00
9043,2019-01-22,1187242,331317.26,179800,1.0,1.0,852.0,333865.0,126,51,2016,18.0,2.0,334081.26
9059,2019-01-16,1175322,1435777.21,865700,3.0,4.0,3262.0,369600.0,54,30,2017,3.0,1.0,1465836.73
9091,2019-01-16,1185556,39490.87,226100,1.0,1.0,1026.0,326664.0,54,42,2017,2.0,4.0,60427.92
9107,2019-01-15,1184495,177714.31,91000,1.0,1.0,571.0,154937.0,41,38,2018,2.0,1.0,90000.00
9110,2019-01-15,1183689,206902.0,156450,2.0,2.0,845.0,169600.0,41,21,2017,2.0,5.0,146787.61
9120,2019-01-15,1183690,259995.7,121300,2.0,1.0,985.0,156831.0,41,34,2017,4.0,2.0,163000.00
9202,2019-01-14,1183375,145852.07,167500,0.0,0.0,1232.0,236908.0,108,60,2017,3.0,5.0,145852.07
9209,2019-01-14,1182056,314017.46,111720,2.0,2.0,956.0,121352.0,108,34,2016,7.0,3.0,96365.49
9215,2019-01-14,1183704,226478.83,121700,2.0,1.0,870.0,160227.0,108,100,2018,4.0,1.0,157000.00
9220,2019-01-14,1185926,185013.94,99622,2.0,2.0,920.0,125986.0,108,93,2018,5.0,1.0,125000.00
9230,2019-01-14,1182829,129097.29,74736,1.0,1.0,1036.0,89570.0,108,76,2017,4.0,2.0,50200.00
9235,2019-01-14,1186479,550622.49,339340,2.0,2.0,960.0,398698.0,108,90,2018,4.0,1.0,341300.00
9238,2019-01-14,1183705,141353.01,100500,1.0,1.0,583.0,120799.0,108,36,2016,6.0,1.0,110700.00
9243,2019-01-09,1188270,188340.87,179400,1.0,2.0,752.0,254448.0,68,18,2015,7.0,3.0,422932.33
9248,2019-01-09,1186278,156623.74,119500,2.0,2.0,1180.0,118714.0,68,52,2017,6.0,5.0,110774.90
9263,2019-01-09,1165089,322823.65,252500,2.0,2.0,1270.0,326574.0,68,42,2017,2.0,4.0,322823.65
9296,2019-01-09,1182189,2082988.14,995775,3.0,3.0,2343.0,1485053.0,68,38,2016,4.0,3.0,2160003.34
9361,2019-01-08,1187646,1060340.29,840750,3.0,3.0,1641.0,1153846.0,155,130,2017,3.0,1.0,1060340.29
9369,2019-01-08,1181441,685737.93,489300,2.0,2.0,1218.0,604778.0,155,153,2018,5.0,1.0,564960.00
9370,2019-01-08,1181726,349480.84,133515,2.0,1.0,610.0,173615.0,155,34,2014,2.0,2.0,157080.00
9399,2019-01-08,1180525,93737.5,115500,2.0,2.0,798.0,148800.0,155,94,2017,2.0,1.0,76084.81
9418,2019-01-08,1176815,220818.02,86900,2.0,2.0,1036.0,104488.0,155,84,2016,2.0,3.0,230958.40
9429,2019-01-08,1179641,316562.53,200550,4.0,3.0,1500.0,250750.0,155,69,2016,3.0,2.0,186893.75
9446,2019-01-07,1185135,1763404.74,604894,2.0,2.0,1529.0,815552.0,203,64,2016,13.0,1.0,1770739.74
9452,2019-01-07,1165088,362203.84,259300,2.0,2.0,1245.0,398181.0,203,122,2017,4.0,2.0,374170.84
